                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0713,                  7.457,                  1.823,                0.24178,                0.25982,                0.16547,                0.06467,                 2.1206,                 4.2459,                 1.9007,             0.00041416,             0.00041416,             0.00041416
                      2,                 2.0507,                 4.7516,                 1.7971,                  0.441,                0.20381,                0.14368,                0.05645,                 2.1785,                 2.8404,                 1.9532,              0.0008226,              0.0008226,              0.0008226
                      3,                 2.0471,                 3.2881,                 1.8121,                0.21478,                0.21074,                0.15649,                0.05856,                 2.2299,                 3.4233,                 1.9848,              0.0012228,              0.0012228,              0.0012228
                      4,                  2.039,                 2.7135,                 1.8048,                0.28712,                0.25139,                0.22982,                0.09522,                 2.1128,                 2.4558,                 1.9041,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.9991,                 2.4209,                 1.7672,                0.31722,                 0.2419,                0.16022,                 0.0581,                 2.1832,                 2.8727,                 1.9812,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9871,                 2.3274,                   1.77,                0.30225,                0.32481,                0.24132,                0.09156,                 2.0577,                 2.3895,                  1.862,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.9416,                 2.1957,                 1.7389,                0.25164,                0.28204,                0.18563,                0.06852,                 2.2819,                 2.7214,                 2.0255,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9028,                 2.1225,                 1.6997,                0.38895,                0.32355,                0.29497,                0.11488,                 2.0124,                 2.3741,                 1.8596,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.8826,                 2.0485,                 1.7019,                0.64933,                0.32468,                0.35602,                0.14778,                  1.948,                 2.0316,                 1.7658,               0.001151,               0.001151,               0.001151
                     10,                 1.8717,                 2.0064,                 1.6877,                0.43253,                0.35927,                0.34457,                0.14284,                 1.9426,                 2.0789,                 1.8031,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.8488,                 1.9532,                  1.676,                0.42149,                0.40266,                0.37648,                0.16305,                 1.9187,                 1.9709,                 1.7633,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.8379,                 1.9233,                 1.6619,                0.39172,                0.39093,                0.36995,                0.16457,                 1.9169,                  2.106,                   1.75,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.8321,                  1.892,                 1.6549,                0.41254,                0.44565,                0.39662,                0.17506,                 1.8947,                 1.9104,                 1.7426,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.8111,                 1.8434,                 1.6395,                0.42858,                0.47946,                0.43173,                0.18259,                 1.8989,                 1.9273,                 1.7351,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.8138,                 1.8391,                 1.6438,                0.46594,                0.43235,                0.42218,                0.18134,                 1.8964,                 1.8616,                  1.731,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.7881,                 1.8037,                 1.6311,                0.57669,                0.40614,                0.44019,                0.19367,                  1.859,                 1.8527,                 1.7119,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.7841,                 1.7504,                 1.6128,                0.45583,                0.49279,                0.44203,                0.19241,                 1.9099,                 1.8134,                   1.73,               0.001052,               0.001052,               0.001052
                     18,                 1.7644,                 1.7265,                 1.5912,                0.38556,                0.50295,                0.42073,                0.17546,                 1.9481,                 1.9026,                 1.7843,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.7484,                 1.6906,                 1.5799,                  0.395,                0.44599,                 0.4158,                0.18679,                 1.9125,                 1.9266,                 1.7325,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.7349,                 1.6604,                 1.5656,                0.42517,                0.50789,                0.44406,                0.19513,                 1.8983,                 1.7869,                 1.7104,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.7354,                 1.6639,                 1.5675,                0.41866,                0.49812,                0.44556,                0.20773,                 1.8801,                 1.7795,                 1.7165,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.7232,                 1.6168,                 1.5527,                0.43979,                0.54357,                 0.4681,                0.20761,                 1.8854,                 1.7362,                 1.7158,             0.00099013,             0.00099013,             0.00099013
